date,project_id,manager_id,user_id,hours
2019-11-10,186,8,2,0.25
2019-11-09,186,8,2,1.33
2019-11-08,186,8,2,0.5
2019-11-07,186,8,2,1.43
2019-11-06,186,8,2,0.5
2019-11-06,186,8,2,0.7
2019-11-06,186,8,2,3.88
2019-11-04,186,8,2,0.88
2019-10-31,186,8,2,2.43
2019-10-31,186,8,2,2
2019-10-31,186,8,2,1.42
2019-10-30,186,8,2,1.78
2019-10-30,186,8,2,0.7
2019-10-30,186,8,2,3.75
2019-10-30,186,8,2,2.55
2019-10-29,186,8,2,2.68
2019-10-29,186,8,2,6.18
2019-10-28,186,8,2,0.6
2019-10-28,186,8,2,0.13
2019-10-28,186,8,2,7.82
2019-10-25,186,8,2,1.08
2019-10-25,186,8,2,0.17
2019-10-25,186,8,2,2.35
2019-10-25,186,8,2,0.55
2019-10-24,186,8,2,1
2019-10-24,186,8,2,1.95
2019-10-24,186,8,2,1.53
2019-10-23,186,8,2,1.95
2019-10-23,186,8,2,1.52
2019-10-23,186,8,2,0.42
2019-10-23,186,8,2,2.38
2019-10-22,186,8,2,0.23
2019-10-22,186,8,2,0.83
2019-10-22,186,8,2,0.72
2019-10-22,186,8,2,0.97
2019-10-22,186,8,2,2.2
2019-10-22,186,8,2,0.22
2019-10-22,186,8,2,1.22
2019-10-22,186,8,2,0.32
2019-10-21,186,8,2,1.17
2019-10-21,186,8,2,6.38
2019-10-21,186,8,2,0.58
2019-10-21,186,8,2,0.95
2019-10-20,186,8,2,2
2019-10-19,186,8,2,0.75
2019-10-18,186,8,2,1.17
2019-10-18,186,8,2,0.43
2019-10-18,186,8,2,0.17
2019-10-18,186,8,2,1.27
2019-10-18,186,8,2,2.83
2019-10-17,186,8,2,1.08
2019-10-17,186,8,2,0.58
2019-10-17,186,8,2,0.55
2019-10-17,186,8,2,1.02
2019-10-17,186,8,2,2.63
2019-10-17,186,8,2,0.18
2019-10-17,186,8,2,0.22
2019-10-17,186,8,2,2.17
2019-10-16,186,8,2,1.33
2019-10-16,186,8,2,0.18
2019-10-16,186,8,2,0.5
2019-10-16,186,8,2,0.63
2019-10-16,186,8,2,2.68
2019-10-16,186,8,2,0.87
2019-10-16,186,8,2,0.13
2019-10-16,186,8,2,1.1
2019-10-16,186,8,2,0.17
2019-10-15,186,8,2,1.7
2019-10-15,186,8,2,1.27
2019-10-15,186,8,2,0.52
2019-10-15,186,8,2,0.83
2019-10-15,186,8,2,0.97
2019-10-15,186,8,2,0.88
2019-10-15,186,8,2,0.85
2019-10-14,186,8,2,0.5
2019-10-14,186,8,2,0.5
2019-10-14,186,8,2,1.25
2019-10-14,186,8,2,0.5
2019-10-14,186,8,2,0.55
2019-10-14,186,8,2,3.08
2019-10-14,186,8,2,3.18
2019-10-11,186,8,2,0.07
2019-10-11,186,8,2,1.5
2019-10-11,186,8,2,2.12
2019-10-10,186,8,2,0.38
2019-10-10,186,8,2,0.92
2019-10-10,186,8,2,0.48
2019-10-10,186,8,2,0.13
2019-10-10,186,8,2,1.55
2019-10-10,186,8,2,0.33
2019-10-10,186,8,2,1.35
2019-10-09,186,8,2,2.18
2019-10-09,186,8,2,0.25
2019-10-09,186,8,2,0.6
2019-10-09,186,8,2,2.2
2019-10-09,186,8,2,3.12
2019-10-08,186,8,2,1
2019-10-08,186,8,2,0.85
2019-10-08,186,8,2,0.7
2019-10-08,186,8,2,0.97
2019-10-08,186,8,2,2.58
2019-10-08,186,8,2,0.13
2019-10-08,186,8,2,2.12
2019-10-07,186,8,2,2.85
2019-10-07,186,8,2,1.87
2019-10-07,186,8,2,1.92
2019-10-07,186,8,2,0.4
2019-10-07,186,8,2,1.08
2019-10-07,186,8,2,2.27
2019-10-04,186,8,2,0.08
2019-10-04,186,8,2,0.17
2019-10-04,186,8,2,2.87
2019-10-04,186,8,2,1
2019-10-04,186,8,2,4.12
2019-10-03,186,8,2,0.12
2019-10-03,186,8,2,1.32
2019-10-03,186,8,2,0.55
2019-10-03,186,8,2,0.95
2019-10-03,186,8,2,1.52
2019-10-03,186,8,2,0.14
2019-10-03,186,8,2,2.35
2019-10-02,186,8,2,0.17
2019-10-02,186,8,2,3.08
2019-10-02,186,8,2,0.64
2019-10-02,186,8,2,0.35
2019-10-02,186,8,2,0.57
2019-10-02,186,8,2,2.03
2019-10-02,186,8,2,1.47
2019-10-01,186,8,2,1.2
2019-10-01,186,8,2,0.93
2019-10-01,186,8,2,0.85
2019-10-01,186,8,2,0.73
2019-10-01,186,8,2,0.6
2019-10-01,186,8,2,1.18
2019-10-01,186,8,2,0.78
2019-09-30,186,8,2,1.95
2019-09-30,186,8,2,1.83
2019-09-30,186,8,2,1.33
2019-09-30,186,8,2,0.88
2019-09-30,186,8,2,0.2
2019-09-30,186,8,2,1.35
2019-09-30,186,8,2,2.53
2019-09-27,186,8,2,0.33
2019-09-27,186,8,2,5.9
2019-09-27,186,8,2,0.65
2019-09-27,186,8,2,0.72
2019-09-26,186,8,2,1.42
2019-09-26,186,8,2,0.92
2019-09-26,186,8,2,0.3
2019-09-26,186,8,2,2.03
2019-09-26,186,8,2,1
2019-09-26,186,8,2,0.85
2019-09-25,186,8,2,0.73
2019-09-25,186,8,2,1.62
2019-09-25,186,8,2,5.57
2019-09-25,186,8,2,0.3
2019-09-25,186,8,2,0.5
2019-09-24,186,8,2,3.18
2019-09-24,186,8,2,1.25
2019-09-24,186,8,2,5.33
2019-09-23,186,8,2,0.33
2019-09-23,186,8,2,1.33
2019-09-23,186,8,2,0.27
2019-09-23,186,8,2,0.47
2019-09-23,186,8,2,0.97
2019-09-23,186,8,2,0.98
2019-09-23,186,8,2,0.85
2019-09-23,186,8,2,0.5
2019-09-23,186,8,2,1.45
2019-09-22,186,8,2,0.8
2019-09-22,186,8,2,2.92
2019-09-22,186,8,2,0.33
2019-09-21,186,8,2,2.75
2019-09-21,186,8,2,0.63
2019-09-21,186,8,2,1.31
2019-09-20,186,8,2,1.55
2019-09-20,186,8,2,1.15
2019-09-20,186,8,2,0.73
2019-09-20,186,8,2,0.5
2019-09-20,186,8,2,2.17
2019-09-19,186,8,2,1.33
2019-09-19,186,8,2,1.69
2019-09-19,186,8,2,2.73
2019-09-19,186,8,2,2.58
2019-09-19,186,8,2,1.07
2019-09-19,186,8,2,1.72
2019-09-18,186,8,2,1.35
2019-09-18,186,8,2,1.58
2019-09-18,186,8,2,1.5
2019-09-18,186,8,2,2.18
2019-09-18,186,8,2,0.42
2019-09-17,186,8,2,1.62
2019-09-17,186,8,2,0.75
2019-09-17,186,8,2,0.52
2019-09-17,186,8,2,4.6
2019-09-17,186,8,2,1.26
2019-09-13,186,8,2,1.17
2019-09-13,186,8,2,1
2019-09-12,186,8,2,0.78
2019-09-12,186,8,2,1.38
2019-09-12,186,8,2,1
2019-09-12,186,8,2,1.93
2019-09-12,186,8,2,0.7
2019-09-12,186,8,2,0.2
2019-09-11,186,8,2,0.55
2019-09-11,186,8,2,0.63
2019-09-11,186,8,2,0.15
2019-09-11,186,8,2,2.62
2019-09-10,186,8,2,1.67
2019-09-10,186,8,2,2.13
2019-09-10,186,8,2,0.93
2019-09-09,186,8,2,0.33
2019-09-09,186,8,2,0.75
2019-09-09,186,8,2,0.75
2019-09-06,186,8,2,1
2019-09-05,186,8,2,0.37
2019-09-04,186,8,2,2.28
2019-09-04,186,8,2,1.03
2019-09-04,186,8,2,0.5
2019-09-03,186,8,2,1
2019-09-03,186,8,2,0.52
2019-09-03,186,8,2,1.9
2019-12-09,186,8,2,2.08
2019-12-09,186,8,2,1.1
2019-12-09,186,8,2,0.62
2019-09-16,186,8,2,1.4
2019-09-16,186,8,2,0.23
2019-09-16,186,8,2,0.65
2019-09-16,186,8,2,2.2
2019-09-16,186,8,2,1.53
2019-09-16,186,8,2,3.47
2019-09-14,186,8,2,1
2019-12-23,200,8,2,0.83
2019-12-23,200,8,2,2.8
2019-12-23,200,8,2,0.83
2019-12-23,200,8,2,2.8
2019-12-20,200,8,2,0.5
2019-12-20,200,8,2,0.5
2019-12-17,200,8,2,3.15
2019-12-17,200,8,2,0.83
2019-12-17,200,8,2,0.75
2019-12-16,200,8,2,1.25
2019-12-16,200,8,2,0.67
2019-12-16,200,8,2,4.98
2019-12-16,200,8,2,2.67
2019-12-16,200,8,2,1
2019-12-15,200,8,2,4
2019-12-14,200,8,2,3.5
2019-12-13,200,8,2,1.7
2019-12-13,200,8,2,0.72
2019-12-12,200,8,2,5.07
2019-12-10,200,8,2,0.18
2019-12-08,200,8,2,2.02
2019-12-08,200,8,2,1
2019-12-07,200,8,2,2.85
2019-12-07,200,8,2,3.17
2019-12-06,200,8,2,7.35
2019-12-05,200,8,2,6.85
2019-12-04,200,8,2,1.68
2019-12-04,200,8,2,4.37
2019-12-03,200,8,2,0.42
2019-12-03,200,8,2,2.68
2019-12-03,200,8,2,2.88
2019-12-02,200,8,2,1.73
2019-12-02,200,8,2,3.95
2019-12-01,200,8,2,5.67
2019-11-28,200,8,2,1
2019-11-26,200,8,2,2.56
2019-11-25,200,8,2,1.2
2019-11-24,200,8,2,1.42
2019-11-24,200,8,2,1
2019-11-22,200,8,2,5.25
2019-11-21,200,8,2,5.17
2019-11-21,200,8,2,4
2019-11-20,200,8,2,0.75
2019-11-20,200,8,2,7.55
2019-11-19,200,8,2,1.15
2019-11-19,200,8,2,1.25
2019-11-19,200,8,2,5.22
2019-11-18,200,8,2,1.63
2019-11-18,200,8,2,4.78
2019-11-10,200,8,2,1.58
2019-11-09,200,8,2,0.72
2019-11-08,200,8,2,6.22
2019-11-07,200,8,2,3.27
2019-11-06,200,8,2,2.45
2019-11-06,200,8,2,0.77
2019-11-05,200,8,2,2.87
2019-11-05,200,8,2,3.37
2019-11-05,200,8,2,1.17
2019-11-05,200,8,2,0.33
2019-11-04,200,8,2,6.9
2019-10-25,200,8,2,0.83
2019-10-23,200,8,2,0.45
2019-12-09,200,8,2,0.7
2019-12-09,200,8,2,1.5
2019-11-29,25,9,3,1.5
2019-11-28,25,9,3,2
2019-11-26,25,9,3,3
2019-11-25,25,9,3,2
2019-11-20,25,9,3,3
2019-11-19,25,9,3,1
2019-11-18,25,9,3,2
2019-11-12,25,9,3,2.5
2019-09-25,25,9,3,2
2019-10-11,37,9,3,0.5
2019-10-08,37,9,3,3
2019-10-23,54,9,3,5.5
2019-10-18,54,9,3,3
2019-10-22,54,9,3,9
2019-10-16,54,9,3,0.5
2019-10-15,54,9,3,3
2019-10-07,54,9,3,1
2019-10-04,54,9,3,7
2019-10-02,54,9,3,5
2019-10-01,54,9,3,6
2019-09-28,54,9,3,2.5
2019-09-27,54,9,3,0.5
2019-10-01,77,9,3,2
2019-09-30,77,9,3,2
2019-11-29,106,9,3,1
2019-11-26,106,9,3,1
2019-11-05,106,9,3,1
2019-10-22,106,9,3,2
2019-12-17,117,9,3,0.5
2019-12-17,117,9,3,3.5
2019-12-17,117,9,3,1.5
2019-12-17,117,9,3,2
2019-12-12,117,9,3,2
2019-12-12,117,9,3,3
2019-12-16,117,9,3,2
2019-12-16,117,9,3,1.5
2019-12-01,117,9,3,1
2019-11-29,117,9,3,1
2019-11-26,117,9,3,1
2019-11-25,117,9,3,1.5
2019-11-24,117,9,3,2
2019-11-22,117,9,3,2
2019-11-21,117,9,3,2
2019-11-19,117,9,3,2
2019-11-18,117,9,3,1.5
2019-11-13,117,9,3,3
2019-11-12,117,9,3,2.5
2019-11-11,117,9,3,1
2019-11-08,117,9,3,3.5
2019-11-07,117,9,3,1.5
2019-11-05,117,9,3,6
2019-11-04,117,9,3,4.5
2019-11-03,117,9,3,3.5
2019-10-31,117,9,3,4.5
2019-10-30,117,9,3,3.5
2019-10-29,117,9,3,5
2019-10-28,117,9,3,5.5
2019-10-25,117,9,3,4.5
2019-10-24,117,9,3,8.5
2019-10-18,117,9,3,2
2019-10-20,117,9,3,1
2019-10-21,117,9,3,5.5
2019-10-17,117,9,3,5
2019-10-16,117,9,3,6.5
2019-10-15,117,9,3,5.5
2019-10-14,117,9,3,6
2019-10-13,117,9,3,4
2019-10-11,117,9,3,4
2019-10-11,117,9,3,2
2019-10-10,117,9,3,4
2019-10-10,117,9,3,4
2019-10-09,117,9,3,2
2019-10-09,117,9,3,2.5
2019-10-08,117,9,3,3
2019-10-07,117,9,3,2
2019-10-03,117,9,3,6.5
2019-10-02,117,9,3,2
2019-09-26,117,9,3,0.5
2019-09-26,117,9,3,1.5
2019-09-26,117,9,3,1
2019-09-25,117,9,3,2
2019-12-17,130,9,3,2
2019-12-17,130,9,3,4
2019-09-25,134,9,3,4
2019-12-17,138,9,3,3.5
2019-12-17,138,9,3,3.5
2019-12-17,138,9,3,3
2019-12-17,138,9,3,1
2019-12-17,138,9,3,1.5
2019-12-11,138,9,3,7
2019-12-16,138,9,3,0.5
2019-12-09,138,9,3,6.5
2019-12-09,138,9,3,0.5
2019-12-10,138,9,3,11
2019-11-29,138,9,3,2.5
2019-11-28,138,9,3,1
2019-11-28,138,9,3,1.5
2019-11-27,138,9,3,4.5
2019-11-27,138,9,3,1
2019-11-25,138,9,3,2.5
2019-11-22,138,9,3,1.5
2019-11-21,138,9,3,1.5
2019-11-20,138,9,3,2
2019-11-19,138,9,3,3
2019-11-18,138,9,3,4.5
2019-11-13,138,9,3,7.5
2019-11-11,138,9,3,4.5
2019-11-10,138,9,3,5.5
2019-11-08,138,9,3,1
2019-11-07,138,9,3,7
2019-11-06,138,9,3,5
2019-11-05,138,9,3,1.5
2019-11-04,138,9,3,1.5
2019-10-31,138,9,3,2.5
2019-10-30,138,9,3,2.5
2019-10-28,138,9,3,1
2019-10-23,138,9,3,4.5
2019-10-21,138,9,3,2
2019-10-14,138,9,3,2.5
2019-10-11,138,9,3,0.5
2019-10-09,138,9,3,2.5
2019-10-08,138,9,3,0.5
2019-10-07,138,9,3,2.5
2019-10-02,138,9,3,1
2019-10-01,138,9,3,1
2019-09-30,138,9,3,1
2019-10-07,169,9,3,1
2019-12-17,177,9,3,1.5
2019-12-17,200,9,3,1
